store_id,customer_id,product_id,product_category,date,amount,single_price,transaction_id
Store 01,Customer 1508,53642.0,Toys,2007-04-01 07:00:00,3.0,90.2,1.0
Store 15,Customer 169,90945.0,Movies,2005-02-15 07:00:00,2.0,60.6,2.0
Store 12,Customer 124,18548.0,Movies,2007-09-26 07:00:00,5.0,96.6,3.0
Store 05,Customer 1988,85359.0,Books,2005-05-07 07:00:00,5.0,17.0,4.0
Store 01,Customer 475,80069.0,Clothing,2008-01-06 07:00:00,5.0,65.2,5.0
Store 11,Customer 761,55848.0,Sports,2006-06-03 07:00:00,3.0,56.5,6.0
Store 10,Customer 741,11762.0,Health,2006-09-19 07:00:00,3.0,26.9,7.0
Store 10,Customer 1842,75667.0,Health,2008-11-28 07:00:00,7.0,67.1,8.0
Store 11,Customer 1066,97291.0,Health,2006-03-21 07:00:00,3.0,47.2,9.0
Store 14,Customer 566,39580.0,Toys,2005-09-04 07:00:00,8.0,42.7,10.0
Store 14,Customer 1572,58636.0,Health,2008-06-05 07:00:00,5.0,81.8,11.0
Store 12,Customer 1573,64853.0,Sports,2007-12-08 07:00:00,8.0,29.3,12.0
Store 08,Customer 1384,20905.0,Electronics,2008-05-25 07:00:00,8.0,89.2,13.0
Store 06,Customer 1361,19424.0,Home/Garden,2007-05-10 07:00:00,4.0,71.1,14.0
Store 01,Customer 1167,90837.0,Home/Garden,2008-04-27 07:00:00,7.0,46.4,15.0
Store 09,Customer 905,65759.0,Toys,2005-02-25 07:00:00,1.0,14.3,16.0
Store 06,Customer 1805,49126.0,Electronics,2008-04-30 07:00:00,4.0,50.8,17.0
Store 06,Customer 569,68351.0,Movies,2006-12-27 07:00:00,3.0,57.8,18.0
Store 14,Customer 1643,98903.0,Books,2005-06-18 07:00:00,6.0,53.5,19.0
Store 09,Customer 783,44122.0,Books,2007-01-28 07:00:00,8.0,52.3,20.0
Store 14,Customer 263,94524.0,Movies,2008-04-25 07:00:00,7.0,65.7,21.0
Store 03,Customer 1704,89794.0,Toys,2007-08-02 07:00:00,5.0,69.6,22.0
Store 08,Customer 523,25509.0,Electronics,2005-07-15 07:00:00,1.0,97.7,23.0
Store 02,Customer 1901,59553.0,Toys,2007-12-06 07:00:00,3.0,87.6,24.0
Store 03,Customer 741,94389.0,Health,2007-04-27 07:00:00,1.0,72.9,25.0
Store 14,Customer 409,21470.0,Books,2007-02-14 07:00:00,7.0,20.5,26.0
Store 10,Customer 1942,66428.0,Clothing,2007-09-16 07:00:00,9.0,12.5,27.0
Store 05,Customer 1587,21123.0,Movies,2005-10-10 07:00:00,9.0,75.7,28.0
Store 03,Customer 273,59237.0,Home/Garden,2005-05-09 07:00:00,2.0,23.8,29.0
Store 14,Customer 802,89209.0,Home/Garden,2007-04-18 07:00:00,3.0,95.1,30.0
